cat_name,sub_name,product_name,product_sku,product_description,image_url,product_url
Brilla Max,Alumbrado Público,Reflector Modular LED 400W 5700K,,Potencia: 400 Watts Tensión Nominal: 100-277 V Temperatura: 5 700 K Flujo Luminoso: 52 000 Im Vida útil: 62 000 h Apertura: 90°,https://philcoiluminacion.com/cdn/shop/files/Mesadetrabajo11copia21_111ed0e8-28a9-4c17-93d1-f6eb4b66c86d.png?v=1743010199&width=1946,https://philcoiluminacion.com/products/reflector-modular-led-400w-5700k
Brilla Max,Estaca De LED,Estaca LED 3W 5000K,,Potencia: 3 Watts Tensión Nominal: 100-240 V Flujo luminoso: 150 Im Temperatura: 5 000 K Vida Útil: 20 000 h,https://philcoiluminacion.com/cdn/shop/files/Mesadetrabajo11copia6_d877d78c-3ce8-4baf-8a51-2252e9f67d87.png?v=1739226411&width=1946,https://philcoiluminacion.com/products/luminario-tipo-estaca-terminado-negro-3w-5-000-k
Brilla Max,UFOs Slim,Highbay UFO SLIM 200W 5700K,,Potencia: 200 Watts Tensión Nominal: 100-277 V Flujo luminoso: 22 000 Im Temperatura: 5 700 K Vida Útil: 25 000 h,https://philcoiluminacion.com/cdn/shop/files/Mesadetrabajo11copia6_6167dc92-796f-4c16-b620-b017c4630a89.png?v=1739225877&width=1946,https://philcoiluminacion.com/products/highbay-ufo-slim-200w-5-700k
Brilla Max,Gabinetes LED,Gabiente LED 36W 6500K,,Potencia: 36 Watts Tensión Nominal: 100-240 V Flujo luminoso: 2 600 Im Temperatura: 6 500 K Vida Útil: 25 000 h,https://philcoiluminacion.com/cdn/shop/files/Mesadetrabajo11copia6_a70104ed-a35a-415f-b910-f83b4aa396e8.png?v=1739225435&width=1946,https://philcoiluminacion.com/products/luminario-led-tipo-gabinete-36w-6-500k
Brilla Max,BulkHead,Bulkhead LED 20W 6500K,,Potencia: 20 Watts Tensión Nominal: 110-240 V Flujo luminoso: 1 700 Im Temperatura: 6 500 K Vida Útil: 25 000 h,https://philcoiluminacion.com/cdn/shop/files/Mesa_de_trabajo_11_copia_6-removebg-preview_1_e3ab227e-e689-4e10-afa6-ab565f91e47a.png?v=1739223913&width=1946,https://philcoiluminacion.com/products/bulkhead-led-18w-6500k-copia
Brilla Max,Arbotantes De LED,Arbotante LED 10W 3000K,,Potencia: 10 Watts Tensión Nominal: 100-240 V Flujo luminoso: 900 Im Temperatura:  3 000 K Vida Útil:  25 000 h,https://philcoiluminacion.com/cdn/shop/files/Mesadetrabajo11copia6_88e25313-1938-4da2-a22e-049ef63e46b9.png?v=1739215060&width=1946,https://philcoiluminacion.com/products/luminario-arbotante-10w-3-000k-terminado-negro
Brilla Max,Reflectores,Reflector De LED 300W 6500K,,Potencia: 300 Watts Tensión Nominal: 100-277 V Flujo Luminoso: 30 000 Im Temperatura:  6 500 K Vida Útil: 25 000 h,https://philcoiluminacion.com/cdn/shop/files/Mesadetrabajo11copia6_95b75877-5d06-41b1-9513-e2255f14a7dc.png?v=1739210228&width=1946,https://philcoiluminacion.com/products/reflector-de-led-200w-6500k-copia
Brilla Max,Luminarios De Cortesía,Luminario De Cortesía 4000K,,Potencia: 3 Watts Tensión Nominal: 110-240 V Flujo luminoso: 100 Im Temperatura: 4 000 K Vida Útil: 20 000 h Compatible con caja de conexión.,https://philcoiluminacion.com/cdn/shop/files/Mesa_de_trabajo_11_copia_6-removebg-preview_3_4d850fec-c0a1-4cfc-9d7b-22432f8f9d11.png?v=1739209332&width=1946,https://philcoiluminacion.com/products/tubo-led-t8-de-cristal-opalino-conexion-ambos-lados-18w-6-500k-1
Brilla Max,Lámparas Tubulares T8,Lámpara Tubular T8 Cristal Opalino 18W 6500K,,Potencia: 18 Watts Tensión Nominal: 100-240 V Flujo luminoso: 1 700 Im Temperatura: 6 500 K Vida Útil: 25 000 h Base: G13 Conexión ambos lados,https://philcoiluminacion.com/cdn/shop/files/Mesa_de_trabajo_11_copia_6-removebg-preview_2_ed9348cf-c09d-42c8-bb43-58ea907adcfe.png?v=1739208864&width=1946,https://philcoiluminacion.com/products/tubo-led-t8-de-cristal-opalino-conexion-ambos-lados-18w-6-500k
Brilla Max,Luminario APV,Luminario A Prueba De Polvo Y Agua 126cm,,Base: 1XG13 Con Óptica PC Conexión ambos lados Para 2 tubos T8 incluye base G13,https://philcoiluminacion.com/cdn/shop/files/Mesadetrabajo11copia6_6a4b27c4-87a6-41a0-bcfc-27b7270ef67b.png?v=1739207975&width=1946,https://philcoiluminacion.com/products/luminario-para-2-tubos-t8-a-prueba-de-polvo-y-agua-eco-para-sobreponer-de-126-cm
Brilla Max,Downlights Para Sobreponer,Luminario De LED Sobreponer 24W 6500K,,Potencia: 24W Tensión Nominal: 100-240 V Flujo luminoso: 1 700 lm Temperatura de color: 6 500 K Ángulo de apertura: 120° Horas de vida: 25 000 hrs Material: Policarbonato,https://philcoiluminacion.com/cdn/shop/files/Mesadetrabajo11copia6_432a9367-e30f-4528-b80d-f935c7b264b8.png?v=1739207325&width=1946,https://philcoiluminacion.com/products/downlight-surface-led-24w-luz-blanca-6500k
